time_iso8601,stars_cumulative
2025-06-08 00:00:00+00:00,1
2025-07-21 00:00:00+00:00,2
2025-08-03 00:00:00+00:00,3
2025-08-16 00:00:00+00:00,4
2025-09-01 00:00:00+00:00,5
2025-09-12 00:00:00+00:00,6
2025-09-20 00:00:00+00:00,7
2025-10-06 00:00:00+00:00,8
2025-10-07 00:00:00+00:00,10
2025-10-11 00:00:00+00:00,11
2025-10-15 00:00:00+00:00,12
2025-12-12 00:00:00+00:00,13
2025-12-14 00:00:00+00:00,14
2025-12-23 00:00:00+00:00,15
2025-12-24 00:00:00+00:00,16
2026-01-21 00:00:00+00:00,17
2026-01-27 00:00:00+00:00,18
2026-01-29 00:00:00+00:00,19
2026-04-07 00:00:00+00:00,20
2026-04-21 00:00:00+00:00,21
2026-05-14 00:00:00+00:00,22
2026-05-31 00:00:00+00:00,23
2026-06-02 00:00:00+00:00,24
2026-06-06 00:00:00+00:00,25
